name,long,lat
12 AV/W 43 ST,-74,40.761
12 AV/W 42 ST ISLAND,-74,40.761
11 AV/W 44 ST,-74,40.761
12 AV/ W 40 ST,-74,40.761
12 AV/42 ST,-74,40.761
12 AV/W 42 ST,-74,40.761
11 AV/W 42 ST,-74,40.761
86 ST/18 AV,-74,40.609
18 AV/85 ST,-74,40.609
18 AV/84 ST,-74,40.609
18 AV/81 ST,-74,40.609
18 AV/79 ST,-74,40.609
18 AV/NEW UTRECHT AV,-74,40.609
18 AV/82 ST,-74,40.609
AV OF THE AMERICAS/W 3 ST,-74,40.731
AV OF THE AMERICAS/WAVERLY PL,-74,40.731
W 8 ST/AV OF THE AMERICAS,-74,40.731
6 AV/ WAVERLY PL,-74,40.731
BROADWAY/SPRING ST,-74,40.723
BROADWAY/GRAND ST,-74,40.723
BROADWAY/PRINCE ST,-74,40.723
BROADWAY/BROOME ST,-74,40.723
CENTRE ST/BROOME ST,-74,40.723
50 ST/9 AV,-74,40.638
50 ST/10 AV,-74,40.638
50 ST/FT HAMILTON PY,-74,40.638
49 ST/10 AV,-74,40.638
10 AV/W 30 ST,-73.999,40.751
9 AV/W 34 ST,-73.999,40.751
9 AV/W 30 ST,-73.999,40.751
9 AV/W 28 ST,-73.999,40.751
60 ST/12 AV,-74,40.628
60 ST/13 AV,-74,40.628
12 AV/W 46 ST,-74,40.766
39 ST/7 AV,-74,40.646
39 ST/8 AV,-74,40.646
8 AV/41 ST,-74,40.646
8 AV/40 ST,-74,40.646
8 AV/44 ST,-74,40.646
8 AV/43 ST,-74,40.646
E BROADWAY/CATHERINE ST,-73.999,40.712
ST JAMES PL/R F WAGNER SR PL,-73.999,40.712
MADISON ST/OLIVER ST,-73.999,40.712
MADISON ST/CATHERINE ST,-73.999,40.712
PARK ROW/WORTH ST,-73.999,40.712
WORTH ST/MOTT ST,-73.999,40.712
PEARL ST / PEARL ST,-73.999,40.712
PARK ROW/ST JAMES PL,-73.999,40.712
MADISON ST/ST JAMES PL,-73.999,40.712
COLUMBIA ST/ATLANTIC AV,-73.999,40.692
ATLANTIC AV/HICKS ST,-73.999,40.692
BROOKLYN BRIDGE PK RD/JORALEMON ST,-73.999,40.692
BROOKLYN BRIDGE PARK RD/JORALEMON ST,-73.999,40.692
8 AV/47 ST,-74,40.645
8 AV/41 ST,-74,40.645
8 AV/40 ST,-74,40.645
8 AV/46 ST,-74,40.645
8 AV/44 ST,-74,40.645
8 AV/43 ST,-74,40.645
E BROADWAY/CATHERINE ST,-73.999,40.716
BOWERY/BAYARD ST,-73.999,40.716
WORTH ST/MOTT ST,-73.999,40.716
39 ST/6 AV,-74,40.649
39 ST/7 AV,-74,40.649
39 ST/8 AV,-74,40.649
COLUMBIA ST/KANE ST,-74,40.686
COLUMBIA ST/BALTIC ST,-74,40.686
CROPSEY AV/BAY PY,-74,40.598
SHORE PY/BAY PY,-74,40.598
BATH AV/BAY PY,-74,40.598
CROPSEY AV/BAY 25 ST,-74,40.598
BAY PKY/CROPSEY AV,-74,40.598
BATH AV/21 AV,-74,40.598
CROPSEY AV/BAY 31 ST,-74,40.598
18 AV/85 ST,-74,40.61
18 AV/84 ST,-74,40.61
18 AV/81 ST,-74,40.61
18 AV/79 ST,-74,40.61
18 AV/NEW UTRECHT AV,-74,40.61
18 AV/82 ST,-74,40.61
W 34 ST/11 AV,-74,40.758
11 AV/W 34 ST,-74,40.758
11 AV/W 38 ST,-74,40.758
AV OF THE AMERICAS/W 10 ST,-73.999,40.737
AV OF THE AMERICAS/W 15 ST,-73.999,40.737
W 14 ST/7 AV,-73.999,40.737
W 14 ST/6 AV,-73.999,40.737
6 AV/ W 14 ST,-73.999,40.737
7 AV/WEST 14 ST,-73.999,40.737
AV OF THE AMERICAS/W 14 ST,-73.999,40.737
6 AV/W 14 ST,-73.999,40.737
W 42 ST/12 AV,-74,40.763
W 42 ST/11 AV,-74,40.763
12 AV/W 43 ST,-74,40.763
12 AV/W 46 ST,-74,40.763
12 AV/W 42 ST ISLAND,-74,40.763
11 AV/W 44 ST,-74,40.763
12 AV/ W 40 ST,-74,40.763
12 AV/42 ST,-74,40.763
12 AV/W 42 ST,-74,40.763
11 AV/W 42 ST,-74,40.763
12 AV/W 43 ST,-74,40.765
12 AV/W 46 ST,-74,40.765
12 AV/W 42 ST,-74,40.765
8 AV/W 14 ST,-74,40.741
8 AV/W 17 ST,-74,40.741
W 14 ST/8 AV,-74,40.741
W 14 ST/7 AV,-74,40.741
7 AV/W 17 ST,-74,40.741
W 16 ST/7 AV,-74,40.741
86 ST/20 AV,-74,40.604
86 ST/19 AV,-74,40.604
86 ST/NEW UTRECHT AV,-74,40.604
BATH AV/20 AV,-74,40.604
50 ST/9 AV,-74,40.639
50 ST/10 AV,-74,40.639
50 ST/FT HAMILTON PY,-74,40.639
49 ST/10 AV,-74,40.639
49 ST/9 AV,-74,40.639
60 ST/13 AV,-74,40.627
BAY RIDGE PY/17 AV,-74,40.613
18 AV/79 ST,-74,40.613
COLUMBIA ST/CONGRESS ST,-74,40.687
COLUMBIA ST/KANE ST,-74,40.687
COLUMBIA ST/WARREN ST,-74,40.687
COLUMBIA ST/BALTIC ST,-74,40.687
18 AV/81 ST,-74,40.612
18 AV/79 ST,-74,40.612
8 AV/W 20 ST,-74,40.746
8 AV/W 23 ST,-74,40.746
W 23 ST/9 AV,-74,40.746
W 23 ST/8 AV,-74,40.746
9 AV/W 23 ST,-74,40.746
9 AV/W 25 ST,-74,40.746
BROOKLYN BRIDGE PK RD/JORALEMON ST,-73.999,40.694
BROOKLYN BRIDGE PARK RD/JORALEMON ST,-73.999,40.694
BROADWAY/GRAND ST,-74,40.72
BROADWAY/BROOME ST,-74,40.72
CENTRE ST/BROOME ST,-74,40.72
50 ST/10 AV,-74,40.636
50 ST/FT HAMILTON PY,-74,40.636
56 ST/11 AV,-74,40.636
56 ST/FT HAMILTON PY,-74,40.636
10 AV/W 27 ST,-74,40.75
10 AV/W 30 ST,-74,40.75
9 AV/W 30 ST,-74,40.75
9 AV/W 28 ST,-74,40.75
9 AV/W 25 ST,-74,40.75
PEARL ST/PECK SLIP,-74,40.709
ST JAMES PL/R F WAGNER SR PL,-74,40.709
PEARL ST/FRANKFORT ST,-74,40.709
FRANKFORT ST/PEARL ST,-74,40.709
PEARL ST / PEARL ST,-74,40.709
FRANKFORT ST / PEARL ST,-74,40.709
AV OF THE AMERICAS/W 3 ST,-74,40.732
AV OF THE AMERICAS/WAVERLY PL,-74,40.732
W 10 ST/WAVERLY PL,-74,40.732
GREENWICH AV/CHRISTOPHER ST,-74,40.732
W 8 ST/AV OF THE AMERICAS,-74,40.732
W 9 ST/AV OF THE AMERICAS,-74,40.732
CHRISTOPHER ST/GREENWICH AV,-74,40.732
CHRISTOPHER ST/WAVERLY PL,-74,40.732
6 AV/ WAVERLY PL,-74,40.732
ST JAMES PL/R F WAGNER SR PL,-73.999,40.709
PEARL ST / PEARL ST,-73.999,40.709
BATH AV/BAY PY,-74,40.6
BATH AV/20 AV,-74,40.6
CROPSEY AV/BAY 25 ST,-74,40.6
BATH AV/21 AV,-74,40.6
39 ST/7 AV,-74,40.647
39 ST/8 AV,-74,40.647
8 AV/41 ST,-74,40.647
8 AV/40 ST,-74,40.647
8 AV/44 ST,-74,40.647
8 AV/43 ST,-74,40.647
86 ST/20 AV,-74,40.607
86 ST/19 AV,-74,40.607
86 ST/NEW UTRECHT AV,-74,40.607
86 ST/18 AV,-74,40.607
18 AV/85 ST,-74,40.607
18 AV/84 ST,-74,40.607
18 AV/NEW UTRECHT AV,-74,40.607
18 AV/82 ST,-74,40.607
3 AV/30 ST,-74,40.658
5 AV/30 ST,-74,40.658
CLEVELAND  PL/SPRING ST,-73.999,40.723
BROADWAY/SPRING ST,-73.999,40.723
BROADWAY/GRAND ST,-73.999,40.723
BROADWAY/W HOUSTON ST,-73.999,40.723
BROADWAY/PRINCE ST,-73.999,40.723
BROADWAY/BROOME ST,-73.999,40.723
CENTRE ST/BROOME ST,-73.999,40.723
COURT ST/NELSON ST,-74,40.674
COURT ST/W 9 ST,-74,40.674
COURT ST/HAMILTON AV,-74,40.674
COURT ST/LORRAINE ST,-74,40.674
SMITH ST/W 9 ST,-74,40.674
CLINTON ST/LORRAINE ST,-74,40.674
MILL ST/CLINTON ST,-74,40.674
SMITH ST/9TH ST,-74,40.674
CLEVELAND  PL/SPRING ST,-73.999,40.722
BROADWAY/SPRING ST,-73.999,40.722
BROADWAY/GRAND ST,-73.999,40.722
BROADWAY/PRINCE ST,-73.999,40.722
BROADWAY/BROOME ST,-73.999,40.722
CENTRE ST/BROOME ST,-73.999,40.722
86 ST/20 AV,-74,40.603
BATH AV/20 AV,-74,40.603
W 42 ST/12 AV,-74,40.764
12 AV/W 43 ST,-74,40.764
12 AV/W 46 ST,-74,40.764
12 AV/W 42 ST ISLAND,-74,40.764
11 AV/W 44 ST,-74,40.764
12 AV/42 ST,-74,40.764
12 AV/W 42 ST,-74,40.764
BROADWAY/SPRING ST,-74,40.722
BROADWAY/GRAND ST,-74,40.722
BROADWAY/PRINCE ST,-74,40.722
BROADWAY/BROOME ST,-74,40.722
CENTRE ST/BROOME ST,-74,40.722
12 AV/W 48 ST,-73.999,40.768
W 50 ST/12 AV,-73.999,40.768
W 49 ST/12 AV,-73.999,40.768
10 AV/W 30 ST,-73.999,40.75
9 AV/W 30 ST,-73.999,40.75
9 AV/W 28 ST,-73.999,40.75
9 AV/W 25 ST,-73.999,40.75
W HOUSTON ST/GREENE ST,-73.999,40.727
W HOUSTON ST/SULLIVAN ST,-73.999,40.727
W HOUSTON ST/W BROADWAY,-73.999,40.727
BROADWAY/W HOUSTON ST,-73.999,40.727
W HOUSTON ST/LA GUARDIA PL,-73.999,40.727
W HOUSTON ST/MERCER ST,-73.999,40.727
BROADWAY/SPRING ST,-74,40.724
W HOUSTON ST/GREENE ST,-74,40.724
BROADWAY/PRINCE ST,-74,40.724
BROADWAY/BROOME ST,-74,40.724
10 AV/W 30 ST,-73.999,40.754
10 AV/W 34 ST,-73.999,40.754
9 AV/W 34 ST,-73.999,40.754
W 34 ST/10 AV,-73.999,40.754
W 34 ST/DYER AV,-73.999,40.754
W 34 ST/HUDSON BL,-73.999,40.754
3 AV/26 ST,-74,40.662
3 AV/23 ST,-74,40.662
3 AV/21 ST,-74,40.662
3 AV/25 ST,-74,40.662
AV OF THE AMERICAS/WAVERLY PL,-73.999,40.735
AV OF THE AMERICAS/W 10 ST,-73.999,40.735
AV OF THE AMERICAS/W 15 ST,-73.999,40.735
W 10 ST/WAVERLY PL,-73.999,40.735
GREENWICH AV/CHRISTOPHER ST,-73.999,40.735
W 8 ST/AV OF THE AMERICAS,-73.999,40.735
W 9 ST/AV OF THE AMERICAS,-73.999,40.735
CHRISTOPHER ST/GREENWICH AV,-73.999,40.735
6 AV/ WAVERLY PL,-73.999,40.735
AV OF THE AMERICAS/W 14 ST,-73.999,40.735
W 42 ST/11 AV,-73.999,40.759
10 AV/W 37 ST,-73.999,40.759
11 AV/W 38 ST,-73.999,40.759
11 AV/W 42 ST,-73.999,40.759
BROOKLYN BRIDGE PK RD/JORALEMON ST,-74,40.695
BROOKLYN BRIDGE PARK RD/JORALEMON ST,-74,40.695
10 AV/W 30 ST,-74,40.753
10 AV/W 34 ST,-74,40.753
9 AV/W 30 ST,-74,40.753
W 34 ST/10 AV,-74,40.753
W 34 ST/DYER AV,-74,40.753
W 34 ST/HUDSON BL,-74,40.753
8 AV/47 ST,-74,40.644
8 AV/41 ST,-74,40.644
8 AV/40 ST,-74,40.644
8 AV/46 ST,-74,40.644
8 AV/44 ST,-74,40.644
8 AV/43 ST,-74,40.644
BROADWAY/SPRING ST,-73.999,40.725
W HOUSTON ST/GREENE ST,-73.999,40.725
W HOUSTON ST/SULLIVAN ST,-73.999,40.725
W HOUSTON ST/W BROADWAY,-73.999,40.725
BROADWAY/W HOUSTON ST,-73.999,40.725
W HOUSTON ST/LA GUARDIA PL,-73.999,40.725
BROADWAY/PRINCE ST,-73.999,40.725
W HOUSTON ST/MERCER ST,-73.999,40.725
18 AV/84 ST,-74,40.611
18 AV/81 ST,-74,40.611
18 AV/79 ST,-74,40.611
18 AV/82 ST,-74,40.611
W HOUSTON ST/SULLIVAN ST,-74,40.73
W HOUSTON ST/MACDOUGAL ST,-74,40.73
AV OF THE AMERICAS/W 3 ST,-74,40.73
10 AV/W 34 ST,-74,40.755
W 34 ST/11 AV,-74,40.755
W 34 ST/10 AV,-74,40.755
W 34 ST/DYER AV,-74,40.755
11 AV/W 34 ST,-74,40.755
W 34 ST/HUDSON BL,-74,40.755
BROOKLYN BRIDGE PK RD/JORALEMON ST,-73.999,40.695
BROOKLYN BRIDGE PARK RD/JORALEMON ST,-73.999,40.695
